timestamp,iteration,task,reward,energy_penalty,metric_a,metric_b,spikes,meta_action,delta,reverted,note
2025-10-26T10:48:08Z,1,rl,7.390624,0.090800,7.390624,0.000000,90.800000,,0.000000,False,rl episodes=5
2025-10-26T10:48:20Z,2,lm,-4.357564,0.010142,4.357564,78.066738,20.283679,,0.000000,False,lm lines=50
2025-10-26T10:48:21Z,3,autoadapt,-0.046000,0.000000,,,0.000000,vth_down,-0.046000,True,"[meta] ep001 action=vth_down delta=-0.046 (reverted, pos=0.00) info=v_th=0.550"
2025-10-26T11:49:54Z,4,rl,4.240134,0.080400,4.240134,0.300000,80.400000,,0.000000,False,rl episodes=20
2025-10-26T11:54:03Z,5,rl,4.289783,0.062150,4.289783,0.550000,62.150000,,0.000000,False,rl episodes=20
2025-10-26T11:55:55Z,6,rl,4.190011,0.067450,4.190011,0.400000,67.450000,,0.000000,False,rl episodes=20
2025-10-26T11:58:03Z,7,lm,-3.083391,0.029831,3.083391,21.832311,59.662469,,0.000000,False,lm lines=500
2025-10-26T11:58:13Z,8,autoadapt,-0.035000,0.000000,,,0.000000,vth_up,-0.035000,True,"[meta] ep001 action=vth_up delta=-0.035 (reverted, pos=0.00) info=v_th=0.650"
2025-10-26T13:16:05Z,9,lm,-10.390140,0.012014,3.607106,36.859221,24.027885,,-10.390140,False,lm lines=60; files=corpus_garden.txt/data×60
2025-10-26T13:16:40Z,10,lm,-11.500794,0.012488,3.787632,44.151715,24.976724,,-11.500794,False,lm lines=60; files=corpus_finance.txt/data×60
